date,title,summary,url
2025-10-31,KPMG staff to be rated on AI usage in yearly performance reviews,"Sign up now: Get ST's newsletters delivered to your inboxThe firm is already tracking how staff are using AI based on data from tools such as Microsoft's Copilot.
KPMG bosses will start examining how staffers are using the firm’s artificial intelligence tools as part of their annual performance reviews, the latest sign of how the technology is rapidly reshaping the world of consulting.
The firm is already tracking how staff are using AI using data from tools such as Microsoft’s Copilot, according to Mr Niale Cleobury, KPMG’s global AI workforce lead.
Now, they’ll be assessed on how well they’ve met the firm’s AI objectives in their 2026 performance reviews.
While the firm is investing in more tools that will allow it to better track staffers’ AI engagement, KPMG is not trying to police the way they use the technology.",https://www.straitstimes.com/business/kpmg-staff-to-be-rated-on-ai-usage-in-yearly-performance-reviews
2025-10-31,China factory activity sees longest slump in almost a decade,"– China’s factory activity slump worsened in October, reaching its longest decline in more than nine years as a deepening economic slowdown sets in during the final quarter.
The official manufacturing purchasing managers’ index (PMI) was 49, versus 49.8 in September, the National Bureau of Statistics (NBS) said on Oct 31.
The non-manufacturing measure of activity in construction and services inched up to 50.1, after slipping in September to reach the 50 mark that separates contraction from growth.
Seasonal factors were likely at play, since national holidays in October 2025 were longer than in 2024.
In a sign of reduced production activity, the output sub-index under the manufacturing PMI fell into the contractionary territory for the first time since April.",https://www.straitstimes.com/business/economy/china-factory-activity-sees-longest-slump-in-almost-a-decade
2025-10-31,"Nissan warns of $2.3 billion full-year loss, challenges ahead","TOKYO – Nissan Motor shares fell the most in two months after the embattled carmaker forecast a 275 billion yen (S$2.3 billion) operating loss in 2025 as it pushes ahead with a cost-cutting spree to rescue its deteriorating financial position.
It estimates a 30 billion yen loss for the April-September period, a better outcome than its previous forecast that it would lose 180 billion yen.
“Nissan continues to face challenges exacerbated by external headwinds,” chief financial officer Jeremie Papin told reporters on Oct 30.
The shares tumbled as much as 6.1 per cent in early Tokyo trading on Oct 31, the biggest decline on an intraday basis since Aug 26.
“It’s unclear whether progress will happen as planned.”The company declined to share its restructuring costs or full-year outlooks for profit or net losses.",https://www.straitstimes.com/business/companies-markets/nissan-warns-of-2-3-billion-full-year-loss-challenges-ahead
2025-10-31,CapitaLand Ascendas Reit Q3 occupancy and rental,"SINGAPORE – CapitaLand Ascendas Reit’s (Clar) portfolio occupancy declined to 91.3 per cent in the third quarter from 91.8 per cent in the second quarter , said its manager in a business update on Oct 31.
The logistics portfolio “remained healthy” in the US, with occupancy at 92.3 per cent, said the real estate investment trust’s (Reit) manager.
Occupancy in Australia rose by 1.7 percentage points quarter on quarter to 94.8 per cent, driven by improvements in the logistics portfolio.
In terms of rental performance, Clar’s average portfolio rental reversion for renewed leases decreased slightly to 7.6 per cent in the t hird quarter , down from 8 per cent in the second quarter.
The business space and industrial Reit’s portfolio weighted average lease expiry remained stable at 3.6 years.",https://www.straitstimes.com/business/companies-markets/capitaland-ascendas-reits-portfolio-occupancy-dips-to-91-3-in-q3-rental-reversion-slows
2025-10-31,"SIA earnings likely to stay ‘pressured’ despite over 380,000 discounted tickets, say analysts","SINGAPORE – Singapore Airlines Group’s latest discounted tickets exercise may not be enough to boost its near-term earnings, said analysts.
The airline released more than 380,000 discounted tickets on Oct 24, with the sale set to end on Nov 6.
However, the group’s earnings will likely remain under pressure in the near term due to concerns around passenger yield, drag from the crash of Air India Flight 171 and rising non-fuel costs, said analysts.
Maybank analyst Eric Ong echoed the sentiment, stating that the sale will help boost the group’s passenger load factor amid heightened competition, especially from regional carriers.
“However, this suggests that passenger yield may continue to moderate, coupled with industrywide capacity growth,” he added.",https://www.straitstimes.com/business/companies-markets/sia-earnings-likely-to-stay-pressured-despite-over-380000-discounted-tickets-say-analysts
2025-10-31,Cordlife’s executive chairman resigns after less than 5 months in the role,"Sign up now: Get ST's newsletters delivered to your inboxCordlife's executive chairman Zhai Lingyun has resigned.
The private cord blood bank will appoint a new chairman in due course.
SINGAPORE – Cordlife’s executive chairman has resigned less than five months after he assumed the position, even as the private cord blood bank is facing a possible one-year suspension of its services after significant lapses were found in an audit.
Mr Zhai was subsequently redesignated as Cordlife’s executive chairman from June 16.
Cord blood contains stem cells that can be used to treat blood diseases and some cancers, such as leukaemia and lymphoma, should the baby develop these illnesses later in life.",https://www.straitstimes.com/business/cordlifes-executive-chairman-resigns-after-less-than-5-months-in-the-role
2025-10-31,"Manufacturing, services firms more upbeat but largely cautious about Q4 outlook: Survey","SINGAPORE – Business sentiment in the manufacturing and services sectors continues to be more upbeat about the next six months, but firms remain largely cautious amid continued global economic uncertainty.
About 406 manufacturing firms and 1,500 companies in the services sector were surveyed by the Government.
Of the polled manufacturing firms, a weighted 23 per cent are optimistic about business conditions from October to March 2026, according to the Business Expectations of the Manufacturing Sector survey released by the Economic Development Board on Oct 31.
This was up from 10 per cent in the previous survey released on July 31 for the third quarter.
Overall, a weighted 21 per cent of firms in the sector are optimistic about business conditions, up from 17 per cent in the previous quarter.",https://www.straitstimes.com/business/economy/manufacturing-services-firms-more-upbeat-but-largely-cautious-about-q4-outlook
2025-10-31,"Apple sees blockbuster holiday season on new iPhones, driving up shares","Sign up now: Get ST's newsletters delivered to your inboxApple said it expects iPhone revenue to grow by double-digits year over year in the December quarter.
SAN FRANCISCO – Apple predicted a major sales surge during the holiday season after releasing new iPhones, helping assure investors that its flagship product remains a growth engine.
“We expect iPhone revenue to grow double-digits year over year, which would be our best iPhone quarter ever,” he said.
Revenue from greater China fell 3.6 per cent to US$14.5 billion last quarter, well short of the US$16.4 billion that analysts projected.
Still, chief executive Tim Cook said he believes Apple will return to growth in the region during the current quarter.",https://www.straitstimes.com/business/companies-markets/apple-sees-blockbuster-holiday-season-on-new-iphones-driving-up-shares
2025-10-31,Twelve Cupcakes staff gather at MOM services centre to seek recourse after chain closes,"Sign up now: Get ST's newsletters delivered to your inboxTwelve Cupcakes announced on Oct 30 that it had closed down and gone into provisional liquidation.
One of Twelve Cupcakes’ outlet managers said outside the MOM Services Centre on Oct 31 that the decision to shutter Twelve Cupcakes came to its staff with zero warning.
Most said they are expected to foot their rent by Oct 31 or Nov 1 – or risk facing eviction.
Specific representatives of the counter staff group were addressed by MOM staff in closed-door meetings.
For the time being, the group of counter staff are putting together a page to raise donations.",https://www.straitstimes.com/business/companies-markets/we-just-want-our-jobs-back-twelve-cupcakes-staff-gather-at-mom-services-centre-to-seek-recourse
2025-10-31,Nvidia forges AI deals with South Korea’s biggest companies,"Nvidia has forged a landmark deal to supply its technology to South Korea’s biggest companies, part of an aggressive push to expand artificial intelligence (AI) infrastructure around the world.
Nvidia chief executive Jensen Huang is in the country attending the Asia-Pacific Economic Cooperation CEO Summit on Oct 31.
The tie-ups in South Korea will help further entrench Nvidia’s equipment in a country with a vibrant technology industry.
Samsung, a key supplier of memory chips and one of the world’s largest semiconductor makers, will build an “AI factory” that is home to more than 50,000 Nvidia chips.
SK Group, which includes affiliates SK Telecom and SK Hynix, is deploying an array of Nvidia RTX Pro 6000 Blackwell server chips in what Nvidia called Asia’s first “industrial AI cloud”.",https://www.straitstimes.com/business/companies-markets/nvidia-forges-ai-deals-with-south-koreas-biggest-companies
